1A2Y,AB:C,-11.66818216
1A3R,LH:P,-11.57773848
1ACY,LH:P,-10.6381754
1BJ1,LH:V,-9.833638874
1CFS,AB:C,-10.69471983
1CG9,B:AC,-12.04481753
1CU4,LH:P,-10.03878765
1CZ8,LH:V,-9.990982283
1E6J,LH:P,-11.17164426
1EGJ,LH:A,-11.47644434
1EJO,LH:P,-11.87802755
1F58,LH:P,-11.14402299
1G9M,LH:GC,-9.776356496
1H0D,AB:C,-13.07506498
1HIM,LH:PR,-11.90304426
1I8K,AB:C,-10.86992558
1IQD,AB:C,-11.16227635
1J1O,LH:Y,-12.90285512
1JRH,LH:I,-13.63183811
1JTP,A:L,-12.20866185
1KCR,LH:P,-12.0691103
1KEN,LH:AB,-13.48646484
1N64,LH:P,-9.665013969
1N8Z,AB:C,-10.86643844
1NC2,AB:D,-9.454779205
1NCB,LH:N,-11.10362338
1NFD,EF:AB,-9.291848378
1NL0,LH:G,-9.984768352
1OB1,BA:C,-11.5339892
1P4B,LH:P,-10.35370275
1QFU,LH:AB,-10.73153405
1QFW,LHMI:AB,-13.00187514
1R3K,AB:C,-11.03989775
1TJH,LH:P,-9.89440184
1TZG,LH:P,-10.11463916
1TZH,AB:V,-10.12291891
1TZI,AB:V,-10.67220166
1WEJ,LH:F,-10.4107495
1YJD,LH:C,-12.8888306
2ADF,LH:A,-11.85651597
2B2X,LH:A,-12.81772221
2B4C,LH:GC,-11.43276748
2CK0,LH:P,-10.99628191
2CMR,LH:A,-11.77602229
2DD8,LH:S,-13.00319428
2DWD,BA:C,-11.2218731
2EH8,LH:P,-11.31681862
2FD6,LH:AU,-10.3070384
2GHW,B:A,-18.10455813
2H1P,LH:P,-10.86039883
2HFG,LH:R,-14.19456277
2HMI,CD:EFAB,-11.17102225
2HRP,LH:P,-11.23823702
2J4W,LH:D,-12.82160044
2J5L,BC:A,-13.34179028
2JEL,LH:P,-12.14126877
2NY7,LH:G,-10.86942182
2NYY,CD:A,-15.77801601
2P46,B:A,-11.62513151
2Q8A,LH:A,-11.19296562
2QAD,CD:AB,-10.69710632
2QHR,LH:P,-11.53889353
2QQK,LH:A,-12.46111592
2QQN,LH:A,-12.77486922
2R0L,LH:AB,-13.44098947
2UZI,LH:R,-11.73560615
2VC2,HL:AB,-13.89006415
2VIR,AB:C,-12.87341083
2VWE,CE:A,-12.986013
2VXT,H:I,-10.84222179
2W9E,LH:A,-12.93017205
2XQB,LH:A,-13.93886711
2XWT,BA:C,-13.40211731
2Y36,HL:P,-10.25360555
2Y5T,AB:EF,-9.520096981
2Y6S,CD:P,-11.22723904
2ZCH,LH:P,-10.84100565
3AB0,CB:A,-11.79345557
3B2U,LH:A,-14.32466573
3BO8,B:AC,-11.46680413
3C2A,LH:P,-11.46867921
3CSY,AB:IJ,-12.57476764
3D85,AB:CD,-12.04177017
3EBA,A:B,-10.59659029
3EO1,AB:C,-10.9520702
3FFD,BA:P,-11.5600923
3G04,AB:C,-12.46005538
3G5V,AB:C,-11.53740969
3G6D,LH:A,-10.02784324
3GBN,HL:AB,-11.56500954
3GHE,LH:P,-11.79901415
3GI8,LH:C,-12.52053896
3GI9,LH:C,-12.3429801
3H3B,A:C,-13.98612438
3H42,LH:AB,-15.7732627
3HB3,CD:AB,-12.73491715
3HI1,LH:G,-14.27922787
3HI6,LH:A,-13.75004134
3HMX,LH:AB,-11.73560335
3IDX,LH:G,-9.87162336
3IU3,BA:I,-9.1870598
3K2U,LH:AB,-13.65687859
3K3Q,A:BC,-9.055353743
3KR3,LH:D,-13.4217325
3LD8,BC:A,-14.48206801
3LIZ,LH:A,-12.01358273
3MA9,LH:A,-12.17250988
3MJ9,LH:A,-13.31561752
3MLR,LH:P,-10.49398615
3MLW,LH:P,-10.6624369
3MLX,LH:P,-12.19944648
3MNW,AB:P,-11.85563439
3MXW,LH:A,-11.515076
3N85,LH:A,-14.50338494
3O0R,LH:BC,-11.60143086
3O2D,LH:A,-14.33094163
3O41,LH:P,-11.52965659
3P0G,B:A,-12.4134292
3PGF,LH:A,-16.04339842
3Q1S,LH:I,-10.99527844
3Q3G,CD:G,-12.31769651
3R1G,LH:B,-13.26382341
3RJQ,B:A,-12.42596659
3RU8,LH:X,-12.84638586
3RVV,CD:A,-12.38817107
3S35,LH:X,-10.81075932
3S36,LH:X,-14.65672694
3SDY,HL:AB,-10.06299725
3SE8,LH:G,-8.975375923
3SO3,BC:A,-13.87238156
3STB,A:CD,-11.95860076
3T2N,LH:A,-11.42688844
3TJE,LH:F,-10.68050093
3TYG,LH:A,-10.32681988
3U0T,CD:E,-11.60148857
3UC0,LH:A,-10.95078028
3UJI,LH:P,-12.35067655
3UJJ,LH:P,-10.67186311
3V4V,HL:AB,-10.6266852
3V7A,FG:A,-9.1870598
3VE0,AB:IJ,-12.07095963
3W11,CD:ABEF,-12.79120343
3ZTN,HL:AB,-11.8527343
4AEI,LH:A,-14.03575159
4D9Q,DE:A,-9.1870598
4DAG,LH:A,-10.99135506
4DGV,LH:A,-10.5129976
4DK3,A:C,-9.993213637
4DW2,HL:U,-16.40597208
4FFY,LH:A,-11.00605264
4FQJ,LH:A,-14.02496326
4G6A,DC:B,-12.2572411
4G6F,LH:P,-10.99437282
4GAG,LH:P,-12.1735073
4HPO,LH:P,-12.26762424
4HPY,LH:P,-10.9085847
4I3R,LH:G,-9.637424841
1A2Y,AB:C,-11.66818216
1A3R,LH:P,-11.57773848
1ACY,LH:P,-10.6381754
1BJ1,LH:V,-9.833638874
1CFS,AB:C,-10.69471983
1CG9,B:AC,-12.04481753
1CU4,LH:P,-10.03878765
1CZ8,LH:V,-9.990982283
1E6J,LH:P,-11.17164426
1EGJ,LH:A,-11.47644434
1EJO,LH:P,-11.87802755
1F58,LH:P,-11.14402299
1G9M,LH:GC,-9.776356496
1H0D,AB:C,-13.07506498
1HIM,LH:PR,-11.90304426
1I8K,AB:C,-10.86992558
1IQD,AB:C,-11.16227635
